link,Year,Event,Speaker,Organization,About ,Summary,Source of Summary,Topic 1,Sub-topic 1-1,Sub-topic 1-2,Sub-topic 1-3,Topic 2,Sub-topic 2-1,Sub-topic 2-2,Sub-topic 2-3
https://www.youtube.com/watch?v=aIKQ5r0yn6k&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=14,2022,NICE,Connor Bybee,UCB,Optimal oscillator memory networks,"The video is a talk by a graduate student named Connor Bybee at the Redwood Center for Theoretical Neuroscience at UC Berkeley. He presents work on ""optimal oscillator memory networks"" or ""optimal oscillator associative memories,"" which connect algorithms and hardware in the field of attractor networks. These networks are important in neuroscience and are becoming increasingly important in machine learning. The talk focuses on auto-associative or recurrent networks, which have feedback, and their implementation in oscillator networks. He also discusses issues such as designing efficient associative memories for neuromorphic hardware and the compatibility of algorithms with different hardware platforms.",ChatGPT,Neuromorphic circuits,Spiking neural networks,Network topology,,Neuromorphic algorithms,Memory,Computing with physics,
https://www.youtube.com/watch?v=FH976Dg4RWA&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=15,2022,NICE,Samuel Schmidgall,George Mason University,Scale lifelong learning: Spiking neurons as a solution to instability in plastic neural networks,"The speaker, Samuel Schmidgall, is presenting his work on using spiking neurons as a solution to instability in plastic neural networks. He is discussing the difference between artificial and spiking neurons, with the latter accumulating information across the time domain through membrane potential and a spike. He also explains the concept of synaptic plasticity, which is the basis for many learning algorithms in AI, and the specific plasticity rules (such as spike timing dependent plasticity rules) that have been used in previous works. He then goes on to discuss the use of evolutionary strategies as a optimization technique for non-differentiable models of spiking neurons, which allows for updating both the plasticity parameters and the initial weights to learn the synaptic plasticity parameters.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,,,,,,
https://www.youtube.com/watch?v=rC_yerhgvL4&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=16,2022,NICE,Daniel Gutierrez Galan,University of Seville,Towards the neuromorphic implementation of auditory perception in the iCub robotic platform,"The speaker, Daniel Gutierrez, is from the University of Sevilla and is presenting work he has done in collaboration with the group of Kiara Bartolozzi from the Italian Institute of Technology. The project is focused on implementing a neuromorphic cochlear model on the iCubrobot, which is a robotic platform. The main motivation for the work is to provide the iCub robot with the sense of hearing, as it currently has vision and touch but not hearing. The speaker explains the auditory extended pathway and how it works from a biological perspective, specifically focusing on the cochlea and its role in decomposing sound and organizing frequencies. The speaker also mentions that this is still a work in progress and they will show preliminary results and discuss improvements and future work that needs to be done.",ChatGPT,Applications,Robotics,Neuromorphic audition,,,,,
https://www.youtube.com/watch?v=Q4QyX-jHn6U&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=17,2022,NICE,Madeleine Abernot,CNRS,Oscillatory neural network as hetero-associative memory for image detection,"In this video, Melinda Bennett from Zulium Laboratory in Montpellier, France presents work done on using oscillatory neural networks (ONNs) as an associative memory for image edge detection. ONNs are networks of coupled oscillators that use an analog-based computing paradigm, where each neuron is emulated with an analog oscillator and the oscillators are coupled with analog components. The information is represented in the phase relationship between the oscillators. The work in the Neuron project explores using ONNs as a heterogeneous associative memory, where an input is associated with an output, rather than a fuzzy pattern with a clear pattern. They also show how ONNs can be used to perform edge detection, which is a commonly used technique in image processing. They replace the traditional convolutional filters used in edge detection with ONNs as an associative memory, which is able to detect edges in an image.",ChatGPT,Neuromorphic circuits,Network topology,Spiking neural networks,,Neuromorphic algorithms,Memory,Computing with physics,
https://www.youtube.com/watch?v=jomxC46hOOE&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=18,2022,NICE,Jeff Clune,University of British Columbia University,Materials Matter: How biologically inspired alternatives to conventional neural networks improve meta-learning and continual-learning,"In this video, the speaker discusses the idea that materials matter in AI and how looking to biology can inspire alternatives to conventional neural networks that can improve our ability to do meta learning. They also mention a specific study they conducted on the evolution of structural organization in neural networks, and how adding a connection cost in addition to selection for performance can lead to more modular networks that are better at adapting to new situations. They also mention the concept of metalearning and the two major camps in this field, one being the ""mammal camp"" which focuses on optimizing initial weights and the other camp focuses on an algorithm that can learn to learn over time.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,Learning to learn for neuromorphic HW,,,,,
https://www.youtube.com/watch?v=3iMx4ZFAP8o&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=19,2022,NICE,Jack Lindsey,Sandia National Laboratories,Sequence learning and consolidation on loihi using on-chip plasticity,"The video is discussing work being done by a PhD student in neuroscience at Columbia University in collaboration with the neuromorphics group at Sandia. They are using on-chip plasticity to model sequence learning and consolidation using a programmable local learning rule on the Loihi chip. They are using a toy environment consisting of a finite set of stimuli presented in a streaming fashion in a set of stereotype sequences. The goal is to make predictions, represented as activity patterns in a separate population of spiking neurons, about the upcoming stimulus based on the sequential structure that has been observed previously. They are motivated by the hippocampus, a region of the brain involved in sequence learning and memory, and the proposed mechanism for this kind of learning is Spike timing independent plasticity (STDP). They are using Loihi chip to implement a synaptic plasticity rule that implements STDP. They are stimulating the neurons corresponding to the first pattern in one of these sequences and the network will rehearse the rest of the sequence, making predictions about future sequence elements. The issue is that the learning rule is storing this kind of predictive structure in recurrent weights in a population of neurons, but ultimately in an online setting, they would like to make predictions in real-time based on the current input.",ChatGPT,Neuromorphic circuits,On-chip learning,Learning in SNNs,,,,,
https://www.youtube.com/watch?v=FVwXYCVkmbY&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=20,2022,NICE,Adam Perrett,University of Manchester,Online learning in SNNs with e-prop and neuromorphic hardware,"The speaker is discussing online learning in neuromorphic systems, specifically focusing on the eprop algorithm and how it can be used in conjunction with neuromorphic hardware such as SpiNNaker. The motivation for this work is the ability for the system to continuously learn and update while interacting with the environment, as well as the benefits of low power and latency that neuromorphic systems offer. The speaker also briefly mentions how memory works in neural networks, specifically referencing LSTMs and the challenges that come with using them for online learning. Overall, the video is discussing the use of specific algorithms and technology to improve the ability of systems to learn and adapt in real-time while also being efficient in terms of power and computation.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,On-chip learning,,,,,
https://www.youtube.com/watch?v=GaAbwbfZA7c&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=21,2022,NICE,Diego Chavez Arana,New Mexico State University,A neuromorphic normalization algorithm for stabilizing synaptic weights with application to dictionary learning in LCA,"The video describes a proposed solution for stabilizing synaptic weights in neuromorphic machine learning implementations. The solution involves addressing the concept of ""heavy learning,"" in which the strength of synapses between neurons increases when the neurons are activated simultaneously. Over time, this can cause stability problems. The proposed solution is a neuromorphic algorithm that directly normalizes synaptic connectivity with the neural circuit using a simfire gated sim-for change based information control network which works in concert with heavy learning. The algorithm uses a locally competitive algorithm (LCA) and gradient descent to minimize the cost function and converge the synaptic connectivity values to a unique length asymptotically. The information flow in the network is controlled by synfire gated neurons.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,,,,,,
https://www.youtube.com/watch?v=VTvWnZlBdNo&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=22,2022,NICE,James Knight,University of Sussex,Efficient GPU training of SNNs,"James Knight is discussing the work he have been doing over the last year on efficiently training spiking neural networks (SNNs) on GPUs. He explains that there is a long history of simulating SNNs, but most simulators focus on simulating single instances of these models and were traditionally run on distributed CPUs. These simulators are not the tools that people want to use for machine learning anymore. Neuromorphic hardware has the potential to save a lot of energy, but online learning on these systems is still challenging, and current gradient-based learning algorithms are very data-hungry. People have started using standard machine learning tools like PyTorch, TensorFlow and JaX to GPU-accelerate SNN research. Knight argues that this is not a good way of representing an SNN as it uses a global memory between each operation, which slows things down further and scales with the depth of the model. He suggests Jen as an alternative which focuses on computational neuroscience and neurobotics applications, and allows for maximum control, making it a better choice for custom stuff.",ChatGPT,Neuromorphic circuits,Spiking neural networks,,,,,,
https://www.youtube.com/watch?v=uI6sCJPc_aY&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=23,2022,NICE,Paul Haider,University of Bern,Latent equilibrium: A unified learning theory for arbitrarily fast computation with arbitrarily slow neurons,"The speaker, Paul Haider, is a PhD student in the newer TMA group at the University of Bern. He is presenting on ""latent equilibrium,"" which is a unifying framework for arbitrarily fast computation and learning with arbitrarily slow neurons. The talk is about efficient information processing in dynamical physical systems, such as the human brain. One of the key challenges is understanding learning in such systems, which can be translated to the credit assignment problem. In the case of artificial neural networks, this is done with the backpropagation algorithm, but since this algorithm is not biologically plausible, there are a lot of bioplausible approximations, such as equilibrium propagation, the segregated dendrites model, and the dendritic cortical micro circuits. However, the speaker argues that all of these models have a common problem, which is that their speed of information processing is limited by the speed of their components, which for neural networks are the neurons themselves. The talk also covers how this slowness affects the dynamics of networks and learning in these systems.",ChatGPT,Neuromorphic algorithms,Learning in SNNs,,,,,,
https://www.youtube.com/watch?v=uX-BiOOQC8E&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=24,2022,NICE,Pau Vilimelis Aceituno,ETH Zurich,Information theory limits of neuromorphic energy efficiency,"The speaker is discussing how to use information theory and energy efficiency to design neuromorphic systems, which are efficient in some specific problems. They mention that the systems are heterogeneous and it can be difficult to know how efficient they can be or how to design them. The speaker references Shannon's theorems, which state that the right language for information is to use symbols and probabilities and that reliable communication or computation can work even if there is noise on the hardware. The speaker is proposing a new approach to Shannon's theorems by considering costs that are not symmetric and using a combinatorial view to encode symbols with the fewest number of neurons and active neurons to minimize costs. They also mention that this approach is similar to a classical paper on neural computation, but instead of trying to infer efficiency values, they are trying to think of it as a design problem.",ChatGPT,Neuromorphic algorithms,Symbolic computing,,,,,,
https://www.youtube.com/watch?v=6eNIMr_u61o&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=25,2022,NICE,Johannes Leugering,Fraunhofer-Gesellschaft,Modeling and analyzing neuromorphic SNNs as discrete event systems,"The speaker, Johannes Leugering, is discussing a hobby project he is working on related to the simulation of spiking neural networks (SNNs) and discrete Event Systems. He explains that while detailed biophysical models of neurons, such as the Hodgkin-Huxley model, are good at capturing the biological properties of neurons, they are difficult to simulate on a large scale and it can be difficult to understand how they solve problems. He notes that many in the field of neuromorphic computing and SNNs have moved to simpler neural models, such as the leaky integrate-and-fire neuron model, which retain important features of the biological models but are simpler to simulate. He expresses that a drawback of this approach is that it is difficult to explain how these networks actually do computation, with the most common mental model being the concept of function approximation. He is interested in describing computation in an event-driven way, and is motivated by the idea that neurons may primarily perform coincidence detection, which can be captured by simpler models such as finite state machines or Petri nets.",ChatGPT,Neuromorphic algorithms,Computational Neuroscience,,,Neuromorphic circuits,Spiking neural networks,,
https://www.youtube.com/watch?v=GJKZruFuYw0&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=26,2022,NICE,Catherine Schuman,University of Tennessee,A framework to enable top-down co-design of neuromorphic systems for real-world applications,"The speaker is discussing a framework for top-down co-design of neuromorphic systems for real-world applications. The framework, developed by the speaker's research group at the University of Tennessee, aims to bridge the disconnect between ongoing research efforts in neuromorphic hardware and the needs of applications and algorithms in the neuromorphic computing space. The framework includes a library of input and output coding approaches and common interfaces to back-end neuromorphic processors, as well as simulation frameworks for architecture assessment. The speaker's group also uses FPGA platforms and in-house built simulators to evaluate different neuromorphic hardware designs. The goal is to make it easier to understand how neuromorphic hardware can be useful in different applications and to help researchers easily extend the framework to support new neuromorphic hardware efforts.",ChatGPT,Neuromorphic circuits,Emerging hardware approaches for optimization,Network topology,Spiking neural networks,Neuromorphic algorithms,Evolutionary optimization,,
https://www.youtube.com/watch?v=1IqtUg-8rcc&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=27,2022,NICE,Felix Wang,Sandia National Laboratories,Localization through grid-based encodings on digital elevation models,"The speaker, Felix Wang, is presenting a neuro-inspired localization algorithm that he has been developing in collaboration with colleagues at Sandia National Labs. The problem they are addressing is sensor-based localization, which is the process of determining an agent's position based on sensor input. They are implementing a distributed algorithm based on neuro-inspired models of grid cells and are applying it to a navigation-based dataset, specifically digital elevation models. They have adapted the grid-based representations to an abstract computational model and have refined it by aggregating the grid cells into modules that share the same spatial scale and orientation. They have also highlighted that using this distributed phase code representation has nice properties such as robustness to coding noise and the ability to represent thousands of distinct grid modules.",ChatGPT,Applications,Robotics,Collaborative autonomous systems,,,,,
https://www.youtube.com/watch?v=_PNlb126vdU&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=28,2022,NICE,Craig Vineyard,Sandia National Laboratories,Neural mini-apps as a tool for neuromorphic computing insight,"The speaker is discussing the challenges of identifying a ""neuromorphic advantage"" in the context of benchmarking for novel spiking algorithms, and how traditional benchmarks are defined by the processing to be executed or the data set and task. They argue that this flexibility makes direct comparisons difficult, and that many data-driven machine learning benchmarks fall short in their ability to convey merit for ongoing comparisons. The goal is not to create yet another benchmark, but to advance the field and gain understanding of how to make benchmarks more useful for ongoing comparisons.",ChatGPT,Tools and datasets,Benchmark,,,,,,
https://www.youtube.com/watch?v=UM1mhq1bdY4&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=29,2022,NICE,Eric Muller,Heidelberg University,Hands on tutorial BrainScaleS 2: Introduction,"BrainScaleS 2 is a neomorphic system, which means it uses analog circuits to model neuron behavior in a physical model. The system is an infrastructure project and is designed to support a variety of use cases. The hardware includes a simplified neural model, short-term plasticity, structured neurons, accelerated model dynamics, and programmable plasticity. The system has multiple types including a lab setup and an embedded system, with the latter being designed for mobile operation. The BrainScaleS 2 tutorial video is an introduction to the software and hardware of the system, as well as information on how to access and use the system.",ChatGPT,Tools and datasets,Computing platform,Tutorial,,Neuromorphic circuits,Large scale neuromorphic computing platform,,
https://www.youtube.com/watch?v=907zRDofz7Y&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=30,2022,NICE,Jacob Kaiser,Heidelberg University,"Hands on tutorial BrainScaleS 2: Structured Neurons
    ","The video is a tutorial on using the BrainScaleS 2 system to create neural morphologies using structured neurons. The tutorial focuses on creating a simple chain of compartments using the system's ability to connect several neuron circuits and make use of the capabilities of each neuron circuit, such as passive properties like PSP propagation and active properties like dendritic spikes. The tutorial also covers how to establish connections between the different circuits, such as horizontal connections and a shared line, and how to form various neuromorphologies. The tutorial also shows how to use the system to perform an experiment where a synaptic input is injected into one compartment and the resulting PSP is recorded in different compartments, and how to plot the results.",ChatGPT,Tools and datasets,Computing platform,Tutorial,,Neuromorphic circuits,Large scale neuromorphic computing platform,,
https://www.youtube.com/watch?v=TkkIR7zhwMI&list=PLJ506hQ4g3TiJnL5_UFtRgDFcEV9QNdd1&index=31,2022,NICE,Andrew Rowley,University of Manchester,Hands on tutorial SpiNNaker,"The speaker is going through a tutorial on using the SpiNNaker system, which is a computer architecture designed for running simulations of neural networks. They explain how to access the system using the link provided by Bjorn, which leads to a co-laboratory interface where users can access the system and run simulations using the Pine programming language. The speaker also mentions that there is an older URL for accessing the system directly, but the co-laboratory is the recommended way of accessing it. They also mention that the system uses the Jupiter lab interface, and that it has the Spinnaker and Spinnaker kernels installed, which are based on Python 3. They also mention that there is a work folder that can be used to store files permanently, and that the system is generally not reset without the user's request.",ChatGPT,Neuromorphic circuits,Large scale neuromorphic computing platform,,,Tools and datasets,Computing platform,Tutorial,
https://www.youtube.com/watch?v=-dl1FPrpw1A&list=PLJ506hQ4g3TgOgbEDhZhbkPcTMdtNHmy-&index=1,2021,NICE,Mike Davies,Intel ,Lessons from Loihi for the future of neuromorphic computing,"The speaker, Mike Davies, is giving an update on the progress of the Loihi program at Intel, which is focused on creating intelligent, adaptive, and agile drones. He notes that the field of drone racing has advanced quickly in recent years, but that there is still a large gap in capabilities between what is currently possible with autonomous drones and what is possible with even the simplest animal brains, such as a parrot. The speaker suggests that by emulating the efficiency and speed of these simple brains, it may be possible to create drones that are much more capable and efficient than what is currently possible.",ChatGPT,Neuromorphic circuits,ASICs,,,,,,
https://www.youtube.com/watch?v=5UBbCNQW_7c&list=PLJ506hQ4g3TgOgbEDhZhbkPcTMdtNHmy-&index=2,2021,NICE,Ryad Benosman,UPITT,Why is neuromorphic event-based engineering the future of AI?,"The speaker, Ryad Benosman, is discussing the field of neuromorphic processing and why it is considered to be the future of AI. He references a group of people who began thinking about alternative forms of processing in the 1990s, and how advancements in sensors and processors have led to the current interest in neuromorphic processing from big technology companies. He argues the overwhelming amount of data being produced, is not sustainable and that neuromorphic processing offers a solution with its low power and low latency capabilities. The speaker also mentions that traditional methods of using CPUs or GPUs to process data from event-based cameras is not the most efficient way to handle the data, and that neuromorphic processing offers a better solution.",ChatGPT,Generic Introduction,,,,,,,
