link,Year,About,Event,Speaker,Organization,Category,Source of Summary,Summary,Topic 1,Sub-topic 1-1,Sub-topic 1-2,Sub-topic 1-3,Topic 2,Sub-topic 2-1,Sub-topic 2-2,Sub-topic 2-3
https://www.youtube.com/watch?v=S1OLnbnB_qo&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=22,2019,Learning Event-based Height from Plane and Parallax,CVPR Workshop on Event-based Vision,Kenneth Chaney,University of Pennsylvania,Sensing,Paper,"In this work, we propose a fast method to perform event-based structure estimation for vehicles traveling in a roughly 2D environment (e.g. in an environment with a ground plane). Our method transfers the method of plane and parallax to events, which, given the homography to a ground plane and the pose of the camera, generates a warping of the events which removes the optical flow for events on the ground plane, while inducing flow for events above the ground plane. We then estimate dense flow in this warped space using a self-supervised neural network, which provides the height of all points in the scene. We evaluate our method on the Multi Vehicle Stereo Event Camera dataset, and show its ability to rapidly estimate the scene structure both at high speeds and in low lighting conditions.",,,,,,,,
https://www.youtube.com/watch?v=JKRSeg3WrGw&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=23,2019,Asynchronous Convolutional Networks for Object Detection in Neuromorphic Cameras,CVPR Workshop on Event-based Vision,Marco Cannici,Politecnico di Milano,Neuromorphic-compatible algorithms,Paper,"Event-based cameras, also known as neuromorphic cameras, are bioinspired sensors able to perceive changes in the scene at high frequency with low power consumption. Becoming available only very recently, a limited amount of work addresses object detection on these devices. In this paper we propose two neural networks architectures for object detection: YOLE, which integrates the events into surfaces and uses a frame-based model to process them, and fcYOLE, an asynchronous event-based fully convolutional network which uses a novel and general formalization of the convolutional and max pooling layers to exploit the sparsity of camera events. We evaluate the algorithm with different extensions of publicly available datasets, and on a novel synthetic dataset.",,,,,,,,
https://www.youtube.com/watch?v=nFUAQYk3tYA&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=24,2019,DHP19: Dynamic Vision Sensor 3D Human Pose Dataset,CVPR Workshop on Event-based Vision,Enrico Calabrese,INI Zurich,Software and tools,Paper,"Human pose estimation has dramatically improved thanks to the continuous developments in deep learning. However, marker-free human pose estimation based on standard frame-based cameras is still slow and power hungry for real-time feedback interaction because of the huge number of operations necessary for large Convolutional Neural Network (CNN) inference. Event-based cameras such as the Dynamic Vision Sensor (DVS) quickly output sparse moving-edge information. Their sparse and rapid output is ideal for driving low-latency CNNs, thus potentially allowing real-time interaction for human pose estimators. Although the application of CNNs to standard framebased cameras for human pose estimation is well established, their application to event-based cameras is still under study. This paper proposes a novel benchmark dataset of human body movements, the Dynamic Vision Sensor Human Pose dataset (DHP19). It consists of recordings from 4 synchronized 346x260 pixel DVS cameras, for a set of 33 movements with 17 subjects. DHP19 also includes a 3D pose estimation model that achieves an average 3D pose estimation error of about 8 cm, despite the sparse and reduced input data from the DVS.",,,,,,,,
https://www.youtube.com/watch?v=BfMjtUQwWnQ&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=25,2019,CED: Color Event Camera Dataset,CVPR Workshop on Event-based Vision,Cedric Scheerlinck,INI Zurich,Software and tools,Paper,"Event cameras are novel, bio-inspired visual sensors, whose pixels output asynchronous and independent timestamped spikes at local intensity changes, called ‘events’. Event cameras offer advantages over conventional framebased cameras in terms of latency, high dynamic range (HDR) and temporal resolution. Until recently, event cameras have been limited to outputting events in the intensity channel, however, recent advances have resulted in the development of color event cameras, such as the ColorDAVIS346. In this work, we present and release the first Color Event Camera Dataset (CED), containing 50 minutes of footage with both color frames and events. CED features a wide variety of indoor and outdoor scenes, which we hope will help drive forward event-based vision research. We also present an extension of the event camera simulator ESIM [1] that enables simulation of color events. Finally, we present an evaluation of three state-of-the-art image reconstruction methods that can be used to convert the ColorDAVIS346 into a continuous-time, HDR, color video camera to visualise the event stream, and for use in downstream vision applications. Website: http://rpg.ifi.uzh.ch/CED",,,,,,,,
https://www.youtube.com/watch?v=eWBEJOr056E&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=26,2019,Event-Based Attention and Tracking on Neuromorphic Hardware,CVPR Workshop on Event-based Vision,Yulia Sandamirskaya,INI Zurich,Neuromorphic platforms,Paper,"We present a fully event-driven vision and processing system for selective attention and tracking, realized on a neuromorphic processor Loihi interfaced to an event-based Dynamic Vision Sensor DAVIS. The attention mechanism is realized as a recurrent spiking neural network that implements attractor-dynamics of dynamic neural fields. We demonstrate capability of the system to create sustained activation that supports object tracking when distractors are present or when the object slows down or stops, reducing the number of generated events.",,,,,,,,
https://www.youtube.com/watch?v=LdfMTDS9rqI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7,2021,Event Computer Vision 10 years Assessment,CVPR Workshop on Event-based Vision,Ryad Benosman,University of Pittsburgh,Generic introduction,Paper,"Abstract: The field of Event-based vision has started within the neuromorphic community decades ago with the promise to develop a new paradigm for sensing and computation inspired by brain structures. For decades, this endeavor has been an exercise in pure research, but over the past 10 years my lab and other investigators have been pursuing this approach to build practical vision systems available to laymen that could be bought off-the-shelf and used by all. Event-based sensors introduce a radical change in Computer Vision because they sample the visual information asynchronously based on pixels “deciding” when information must be acquired. Although some Event cameras allows the acquisition of frames or absolute illuminance, I will shine light on the generic approach required to process visual events in order to make full use of the low power low latency properties of these sensors. I will explain what the canonical structure of an event-based visual application. I will finally explain based on a deep knowledge of the field and the market where all this is heading and what major achievements are waiting to be made and what is currently preventing them from happening.",,,,,,,,
https://www.youtube.com/watch?v=JyaNT69GWO0&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=2,2021,Event-driven convolution based processing,CVPR Workshop on Event-based Vision,Bernabé Linares-Barranco,IMSE-CNM,Event-based systems,Paper,"Abstract: We review some of the event-driven hardware developments in which our lab has been involved, covering from sensitive-DVS to event-driven convolutions on dedicated ASICs, FPGAs, and the SpiNNaker platform, with applications in object recognition or stereo vision. We show how to train event-driven convnets to minimize the number of required spikes, reducing energy consumption for the same recognition tasks. Additionally, we present some results on a type of spike-timing-dependent-plasticity, which uses only binary weights combined with stochasticity, and which results in hardware that requires less hardware and energy resources for the same accuracy.",,,,,,,,
https://www.youtube.com/watch?v=tiK9idp4aaY&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=3,2021,Neuromorphic Vision Applications: From Robotic Foosball to Tracking Space Junk.,CVPR Workshop on Event-based Vision,Gregory Cohen,Western Sydney Univ.,Generic introduction,Paper,"Abstract: Neuromorphic event-based cameras offer a different way to approach visual imaging tasks and really excel at problems in which they can leverage the unique way that the hardware works. This talk will introduce a range of applications for neuromorphic cameras ranging from tracking space junk and satellites to their applications in robotic foosball and pinball. We will demonstrate real-world results from space tracking with event-based cameras, and introduce our Astrosite mobile neuromorphic telescope observatories - built specifically to leverage the benefits of neuromorphic space imaging. We will describe some of the problems with benchmarking and comparing neuromorphic systems, and show how robotic foosball and robotic pinball machines may be a great way to demonstrate the benefits of neuromorphic systems.",,,,,,,,
https://www.youtube.com/watch?v=E1ScHzUUeXA&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=4,2021,High-Performance Neuromorphic Vision: From Core Technologies to Applications,CVPR Workshop on Event-based Vision,Kynan Eng,iniVation,Generic introduction,Paper,"Abstract: Neuromorphic event-based vision can enable new levels of enhanced vision sensing in situations where current technologies fail. In this presentation, we provide an overview of our technology, our DV open developer environment, and some real-world application examples.",,,,,,,,
https://www.youtube.com/watch?v=CFdwBVawVkM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=5,2021,From the lab to the real world: event-based vision evolves as a commercial force,CVPR Workshop on Event-based Vision,Luca Verre,Prophesee,Generic introduction,Paper,"Abstract: Neuromorphic-based vision has been a popular topic at conferences and technical discussions for many years. Thousands of man years of research have gone into innovative approaches for applying it to applications that improve safety, convenience, automation and efficiency in many aspects of our lives. Today, we are at the cusp of this truly paradigm-shifting approach becoming a commercial reality. From self-driving vehicles, to smart manufacturing and logistics, to scientific research, even space exploration as we have heard from other talks at this conference – we are at the dawn of a new era that will see broader adoption of this technology. At the heart of this movement is Event-Based Vision. By the very fact that we are all gathered for this outstanding event shows the interest and progress we have made, notably by the number of commercial entities who join me as speakers. It is a testament to the dedication of a generation of engineers and researchers in this field. The next step is building on that investment and developing a true ecosystem around the technology. This will require not just companies like Prophesee who implement the core sensors and software to deliver event-based vision as a usable technology, but also a range of software developers, system integrators, distribution partners, academic researchers, standards bodies, even governments to align behind this movement and facilitate even broader adoption. This presentation will frame that movement against the backdrop of the vast new potential of event-based vision in areas such as industrial automation, security and surveillance, mobile, IoT, health and AR/VR.",,,,,,,,
https://www.youtube.com/watch?v=U0ghh-7kQy8&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=6,2021,Event-based Visual Odometry: A Short Tutorial,CVPR Workshop on Event-based Vision,Yi Zhou,HKUST,Sensing,ChatGPT,"The video is discussing the use of event-based cameras for visual odometry, a technique used to estimate the position and orientation of a camera in 3D space. Event-based cameras are a type of bioinspired sensor that acquire visual information in a different way from traditional cameras, producing a stream of asynchronous per-fix intensity changes instead of intensity frames at a fixed frame rate. The video covers the challenges and potential advantages of using event-based cameras for visual odometry, and introduces recent work on event-based stereo visual odometry. The video also provides a brief literature review on the two sub-problems of event-based visual odometry: camera pose tracking and 3D mapping, and highlights two system pipelines. The video concludes by summarizing the talk and outlining remaining open questions in event-based visual odometry.",,,,,,,,
https://www.youtube.com/watch?v=6ciNkcjV6EI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=7,2021,High Speed Perception-Action Systems with Event-Based Cameras,CVPR Workshop on Event-based Vision,Anthony Bisulco,Samsung,Robotics applications,Paper,"Abstract: High-speed perception-action systems are important for mobile robot systems to react in dynamic environments. Event-based cameras have attractive properties for these systems such as high dynamic range, efficient energy use and low latency sensing. At Samsung’s AI Center in NY (SAIC-NY) we have been working on novel DVS-based systems and algorithms to capitalize on these properties. Our previous work in this domain includes a near-chip architecture for low-complexity pedestrian detection on bandwidth-limited networks. In this talk, we will present an overview of our most recent work where the goal is to create high speed perception-action systems for collision avoidance. The introduction of robots to kitchen environments will require avoidance of incoming high-speed moving obstacles such as falling spices, liquids or sharp objects that they should avoid. Our experimental test-bed to explore these systems consists of shooting a toy-dart(22m/s) at a target located on a linear-actuator with a static event-based camera observing the motion head-on. During the dart’s flight, we developed a perception system to extract time to collision and impact location on the camera plane from the event-stream for triggering a collision avoidance system. The entire dart flight is around 150ms, hence we also analyze the various latencies of the perception-action system and system tradeoffs for collision avoidance. As a result of this analysis, we found an initial observability latency of the dart up to 100ms, which resulted in the use of a telescopic lens to reduce this delay to 20ms. A benefit of using an event-camera in this scenario as opposed to a 60Hz frame-based imager is that the perception process can acquire ~100ms of in-focus events as opposed to one or two motion blurred frames. Inspecting our perception performance using event-data, we established our perception system to estimate time to collision within 24.73% and impact location within 18.4mm on our testing dataset. Overall, our perception system and minimal system latency allows our system to successfully avoid a fast incoming toy dart.",,,,,,,,
https://www.youtube.com/watch?v=5FBEqOTgxnM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=8,2021,Development of Event-based Sensor and Applications,CVPR Workshop on Event-based Vision,Shoushun Chen,CelePixel,Sensing,Paper,"Abstract: Event cameras have demonstrated great potential to solve problems in many applications such as robotics, mobile, automotive, gaming and computer vision etc. This talk will introduce the recent development by CelePixel. We will first revisit the pixel architecture, then discuss on the limiting factors of the temporal resolution which could be applicable to other event sensors, finally we will introduce an efficient event-based HCI framework.",,,,,,,,
